sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
2|7|PVEM|JUAN ISAIAS BERTIN SANDOVAL|LUIS MIGUEL BUENROSTRO MARTIN
2|7|PT|JUAN ISAIAS BERTIN SANDOVAL|LUIS MIGUEL BUENROSTRO MARTIN
2|7|MOVIMIENTO CIUDADANO|FELIPE DE JESUS MAYORAL MAYORAL|FERNANDO PARRA VALLADOLID
2|7|MORENA|JUAN ISAIAS BERTIN SANDOVAL|LUIS MIGUEL BUENROSTRO MARTIN
2|7|PES|MARIA GUADALUPE BARRAZA CHIQUETE|BRENDA ARACELI CASTRO ANGULO
2|7|RSP|ALEJANDRA NICOLE ROMERO CORRAL|ALBA CELESTE RUIZ RODRIGUEZ
2|7|FS X MÉXICO|JANNET YOLANDA DE JESUS PERALTA GONZALEZ|CATALINA CERVANTES HERNANDEZ
2|7|PAN_PRI_PRD|CELESTINO SALCEDO FLORES|HECTOR BOJORQUEZ QUINTERO
2|7|PAN_PRI|CELESTINO SALCEDO FLORES|HECTOR BOJORQUEZ QUINTERO
2|7|PAN_PRD|CELESTINO SALCEDO FLORES|HECTOR BOJORQUEZ QUINTERO
2|7|PRI_PRD|CELESTINO SALCEDO FLORES|HECTOR BOJORQUEZ QUINTERO
2|7|PVEM_PT_MORENA|JUAN ISAIAS BERTIN SANDOVAL|LUIS MIGUEL BUENROSTRO MARTIN
2|7|PVEM_PT|JUAN ISAIAS BERTIN SANDOVAL|LUIS MIGUEL BUENROSTRO MARTIN
2|7|PVEM_MORENA|JUAN ISAIAS BERTIN SANDOVAL|LUIS MIGUEL BUENROSTRO MARTIN
2|7|PT_MORENA|JUAN ISAIAS BERTIN SANDOVAL|LUIS MIGUEL BUENROSTRO MARTIN
2|8|PAN|IGNACIO ANAYA BARRIGUETE|MANUEL MAURICIO MARTINEZ FLORES
2|8|PRI|IGNACIO ANAYA BARRIGUETE|MANUEL MAURICIO MARTINEZ FLORES
2|8|PRD|IGNACIO ANAYA BARRIGUETE|MANUEL MAURICIO MARTINEZ FLORES
2|8|PVEM|FAUSTO GALLARDO GARCIA|DAVID EMILIANO HERNANDEZ VILLELA
2|8|PT|FAUSTO GALLARDO GARCIA|DAVID EMILIANO HERNANDEZ VILLELA
2|8|MOVIMIENTO CIUDADANO|SIN CANDIDATURA|MONICA LORENA GARCIA MARTINEZ
2|8|MORENA|FAUSTO GALLARDO GARCIA|DAVID EMILIANO HERNANDEZ VILLELA
2|8|PES|RICARDO CANO CASTRO|ALEJANDRO ANDONAEGUI GALLEGOS
2|8|RSP|JESUS ISMAEL MARTINEZ PEREZ|OSCAR TENIS BADILLO
