ID_ENTIDAD,DISTRITO,nombre_partido,candidato
11,5,PVEM,PVEM
11,6,PAN,PAN
11,6,PRI,PRI
11,6,PRD,PRD
11,6,PT,PT
11,6,MORENA,MORENA
11,6,PVEM,PVEM
11,7,PAN,PAN
11,7,PRI,PRI
11,7,PRD,PRD
11,7,PT,PT
11,7,MORENA,MORENA
11,7,PVEM,PVEM
11,8,PAN,PAN
11,8,PRI,PAN
11,8,PRD,PAN
11,8,PT,PT
11,8,MORENA,MORENA
11,8,PVEM,PVEM
11,9,PAN,PAN
11,9,PRI,PRI
11,9,PRD,PRD
11,9,PT,PT
11,9,MORENA,MORENA
11,9,PVEM,PVEM
11,10,PAN,PAN
11,10,PRI,PRI
11,10,PRD,PRD
11,10,PT,PT
11,10,MORENA,MORENA
11,10,PVEM,PVEM
11,11,PAN,PAN
11,11,PRI,PRI
11,11,PRD,PRD
11,11,PT,PT
11,11,MORENA,MORENA
11,11,PVEM,PVEM
11,12,PAN,PAN
11,12,PRI,PRI
11,12,PRD,PRD
11,12,PT,PT
11,12,MORENA,MORENA
11,12,PVEM,PVEM
11,13,PAN,PAN
11,13,PRI,PRI
11,13,PRD,PRD
11,13,PT,MORENA
11,13,MORENA,MORENA
11,13,PVEM,MORENA
11,14,PAN,PAN
11,14,PRI,PRI
11,14,PRD,PRD
11,14,PT,PT
11,14,MORENA,MORENA
11,14,PVEM,PVEM
11,15,PAN,PAN
11,15,PRI,PRI
11,15,PRD,PRD
11,15,PT,PT
11,15,MORENA,MORENA
11,15,PVEM,PVEM
12,1,PAN,PRI
12,1,PRI,PRI
12,1,PRD,PRI
12,1,PT,MORENA
12,1,MORENA,MORENA
12,1,PVEM,MORENA
12,2,PAN,PAN
12,2,PRI,PRI
12,2,PRD,PRD
12,2,PT,PT
12,2,MORENA,MORENA
12,2,PVEM,PVEM
12,3,PAN,PRD
12,3,PRI,PRD
12,3,PRD,PRD
12,3,PT,PVEM
12,3,MORENA,PVEM
12,3,PVEM,PVEM
12,4,PAN,PRD
12,4,PRI,PRD
12,4,PRD,PRD
12,4,PT,PT
12,4,MORENA,MORENA
12,4,PVEM,PVEM
12,5,PAN,PRD
12,5,PRI,PRD
12,5,PRD,PRD
12,5,PT,PT
12,5,MORENA,PT
12,5,PVEM,PT
12,6,PAN,PRD
12,6,PRI,PRD
12,6,PRD,PRD
12,6,PT,MORENA
12,6,MORENA,MORENA
12,6,PVEM,MORENA
12,7,PAN,PRI
12,7,PRI,PRI
12,7,PRD,PRI
12,7,PT,MORENA
12,7,MORENA,MORENA
